hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl,entrez
ACAT2,3492.6672328713,-0.209929412042054,0.374158236952362,-0.561071202793757,0.574748998542083,0.788887171135469,ENSG00000120437,39
ADAMTSL3,34.9855693547773,-1.12059715278202,0.83323232412187,-1.34487959761162,0.178664119876418,0.441155298678589,ENSG00000156218,57188
ADORA2B,74.602622701358,-0.922328293139684,0.444382618850228,-2.07552738117001,0.0379376838831658,0.190862661910411,ENSG00000170425,136
AGBL4,133.911859089887,-1.07721138328957,0.584561806010374,-1.84276730401105,0.0653629924987442,0.258392332998117,ENSG00000186094,84871
AGER,33.203318478208,0.55021844749879,0.34999586180394,1.57207129439436,0.115934017886973,0.351180668243154,ENSG00000204305,177
AGPAT1,1640.17800479621,0.121727618948357,0.1767049311022,0.688875053961873,0.490901899124973,0.731574539571385,ENSG00000204310,10554
AGPAT4,4611.50075856797,-0.238092751025739,0.152094461544412,-1.56542683151034,0.117482861168588,0.353401670476838,ENSG00000026652,56895
AIM2,149.557832501314,-0.626589378424457,0.590507612256981,-1.06110296534462,0.288643110399743,0.560868920099549,ENSG00000163568,9447
AJAP1,289.980542934159,4.85994937341912,0.815915279760839,5.95643873080018,2.57793695588764e-09,6.30690947424429e-07,ENSG00000196581,55966
AKAP1,1143.18930021486,-0.305185756964738,0.329784943002328,-0.925408401567271,0.354753510234348,0.622865903475238,ENSG00000121057,8165
ANAPC4,1014.96506213374,0.0762299942850618,0.198453425172101,0.384120325557265,0.70088926733876,0.860586104524233,ENSG00000053900,29945
ANKRD30BL,267.92029722747,-1.5952359042253,0.476701696178989,-3.34640282804098,0.000818673679537829,0.0160164427775039,ENSG00000163046,100132154
APOB,94.9297465602119,-0.782395105338582,0.351295725332286,-2.22716944420125,0.0259359514352108,0.153698687549791,ENSG00000084674,338
ARHGAP20,201.244332308016,-1.44774309870285,0.612132124892356,-2.36508270000931,0.0180260451534166,0.123065614941234,ENSG00000137727,57569
ARHGAP24,819.780279012512,-0.128999076568738,0.244997467500759,-0.526532285760622,0.59851842591367,0.804303184292755,ENSG00000138639,83478
ARHGEF11,2644.36552042183,-0.349935156027093,0.284695530584447,-1.22915577673002,0.219013406002074,0.490198953643594,ENSG00000132694,9826
ARMC1,2044.95870326529,0.0281335622991539,0.184385851915351,0.15257983194974,0.878729630523568,0.949725958097864,ENSG00000104442,55156
ARMC8,2473.47093582013,-0.14546263368859,0.169478911725128,-0.858293413663822,0.390730465393369,0.654224857931622,ENSG00000114098,25852
ASCL1,503.104023248553,0.251340345043847,0.379685816158347,0.661969276563721,0.507990911920288,0.743088968179766,ENSG00000139352,429
ATF6B,960.21417991817,0.749093517061175,0.22942485671839,3.26509310183708,0.00109428102116768,0.0196987070293013,ENSG00000213676,1388
ATP1A1,3047.56291468611,0.461117505745528,0.2332726047038,1.97673235711084,0.0480718912724631,0.218668593403646,ENSG00000163399,476
ATP1A2,5811.61568651256,1.58355032571446,0.65672122793602,2.41129760749676,0.0158958716187294,0.11426188969351,ENSG00000018625,477
ATPAF1,1830.19016371759,0.140431013013945,0.18989002096776,0.739538667162441,0.459579968985008,0.707787153221055,ENSG00000123472,64756
AURKB,154.345629887323,1.52560880856642,0.612121048969784,2.4923318862079,0.0126907391876531,0.100254304814313,ENSG00000178999,9212
B3GAT2,524.883260956647,-0.913630595617783,0.471575378303258,-1.93740097056181,0.052696348093744,0.230105657642173,ENSG00000112309,135152
BBS10,927.330044148521,0.380176924690264,0.194101589053388,1.95864921325139,0.0501538819395494,0.223764198591361,ENSG00000179941,79738
